gender,Age,Height,weight,calories
0,41,171,60,1470.028
0,32,174,103,2137.082
0,22,159,58,1510.837
0,46,192,60,1541.316
0,55,170,64,1425.455
0,33,171,64,1579.068
0,50,170,65,1472.98
0,50,201,66,1641.823
0,37,174,67,1608.307
0,28,176,69,1706.608
0,28,165,70,1665.325
0,45,165,70,1550.49
0,60,173,72,1516.689
0,48,156,72,1512.698
0,41,163,72,1595.004
0,37,167,82,1779.536
0,44,174,58,1437.272
0,37,172,58,1474.551
0,41,165,59,1426.26
0,43,171,61,1470.268
0,20,169,62,1629.377
0,51,174,63,1458.737
0,31,163,63,1538.804
0,54,173,63,1433.469
0,50,166,65,1452.968
0,48,163,66,1465.219
0,16,165,68,1718.885
0,37,167,68,1587.036
0,30,161,76,1714.303
0,29,169,77,1774.832
0,51,165,60,1372.46
0,35,169,62,1528.052
0,21,159,64,1600.092
0,22,169,65,1657.117
0,36,160,66,1531.27
0,20,169,67,1698.127
0,35,163,67,1566.784
0,45,155,69,1486.71
0,58,141,70,1342.603
0,37,170,70,1629.545
0,31,170,72,1697.575
0,35,171,72,1675.558
0,56,171,73,1547.453
0,48,153,75,1538.939
0,41,157,76,1619.986
1,39,168,71,1462.509
1,31,158,72,1490.98
1,40,173,74,1495.772
1,50,160,78,1463.214
1,43,162,80,1518.772
1,25,165,80,1608.49
1,52,177,83,1533.127
1,42,166,85,1578.663
1,39,166,87,1611.817
1,40,190,88,1661.104
1,51,191,71,1448.947
1,38,199,75,1562.787
1,54,196,75,1482.421
1,33,190,76,1579.08
1,45,160,78,1486.594
1,37,194,78,1586.902
1,44,163,79,1506.383
1,40,171,79,1539.887
1,37,198,79,1603.865
1,39,180,80,1570.776
1,31,182,80,1611.884
1,36,155,71,1452.487
1,47,179,73,1464.577
1,29,166,76,1553.384
1,37,173,78,1548.052
1,31,177,78,1583.508
1,26,179,78,1610.588
1,40,179,79,1554.687
1,35,183,83,1623.719
1,49,177,84,1556.718
1,28,164,85,1640.427
1,40,167,87,1608.991
1,51,175,88,1581.918
